,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,browser,browserSize,browserVersion,deviceCategory,flashVersion,isMobile,language,mobileDeviceBranding,mobileDeviceInfo,mobileDeviceMarketingName,mobileDeviceModel,mobileInputSelector,operatingSystem,operatingSystemVersion,screenColors,screenResolution,city,cityId,continent,country,latitude,longitude,metro,networkDomain,networkLocation,region,subContinent,bounces,hits,newVisits,pageviews,transactionRevenue,visits,adContent,adwordsClickInfo.adNetworkType,adwordsClickInfo.criteriaParameters,adwordsClickInfo.gclId,adwordsClickInfo.isVideoAd,adwordsClickInfo.page,adwordsClickInfo.slot,campaign,isTrueDirect,keyword,medium,referralPath,source,campaignCode
752,Direct,20160902,6194193421514403509,6194193421514403509_1472843572,Not Socially Engaged,1472843572,1,2016-09-02 19:12:52,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,not available in demo dataset,not available in demo dataset,Ann Arbor,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Detroit MI,(not set),not available in demo dataset,Michigan,Northern America,,11,1,11,37860000,1,,,not available in demo dataset,,-1,,,(not set),1,,(none),,(direct),unknown
753,Organic Search,20160902,5327166854580374902,5327166854580374902_1472844906,Not Socially Engaged,1472844906,3,2016-09-02 19:35:06,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,11,,10,306670000,1,,,not available in demo dataset,,-1,,,(not set),1,(not provided),organic,,google,unknown
799,Referral,20160902,8885051388942907862,8885051388942907862_1472827393,Not Socially Engaged,1472827393,7,2016-09-02 14:43:13,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,13,,11,68030000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
802,Referral,20160902,185467632009737931,0185467632009737931_1472846398,Not Socially Engaged,1472846398,6,2016-09-02 19:59:58,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,13,,12,26250000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
859,Referral,20160902,3244885836845029978,3244885836845029978_1472824817,Not Socially Engaged,1472824817,4,2016-09-02 14:00:17,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Northern America,,17,,14,574150000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
866,Referral,20160902,3351538799616866750,3351538799616866750_1472855945,Not Socially Engaged,1472855945,2,2016-09-02 22:39:05,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,17,,17,8380000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
893,Direct,20160902,1776658355119092313,1776658355119092313_1472861525,Not Socially Engaged,1472861525,1,2016-09-03 00:12:05,Safari,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,San Jose,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,comcast.net,not available in demo dataset,California,Northern America,,19,1,16,395730000,1,,,not available in demo dataset,,-1,,,(not set),1,,(none),,(direct),unknown
910,Referral,20160902,770431600902969839,770431600902969839_1472836071,Not Socially Engaged,1472836071,13,2016-09-02 17:07:51,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,not available in demo dataset,not available in demo dataset,Seattle,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,Seattle-Tacoma WA,(not set),not available in demo dataset,Washington,Northern America,,20,,15,24080000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
922,Organic Search,20160902,7147112211830167925,7147112211830167925_1472853332,Not Socially Engaged,1472853332,1,2016-09-02 21:55:32,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,directmusicservice.com,not available in demo dataset,California,Northern America,,22,1,16,35480000,1,,,not available in demo dataset,,-1,,,(not set),-1,(not provided),organic,,google,unknown
925,Referral,20160902,6664733704830724714,6664733704830724714_1472853995,Not Socially Engaged,1472853995,7,2016-09-02 22:06:35,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,not available in demo dataset,not available in demo dataset,Mountain View,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,22,,20,35080000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/a/google.com/google-merchandise-store/home/on-site-store,sites.google.com,unknown
930,Organic Search,20160902,6045930241388777741,6045930241388777741_1472825504,Not Socially Engaged,1472825504,6,2016-09-02 14:11:44,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,zoominternet.net,not available in demo dataset,not available in demo dataset,Northern America,,22,,16,81500000,1,,,not available in demo dataset,,-1,,,(not set),1,(not provided),organic,,google,unknown
942,Referral,20160902,1546626226233851002,1546626226233851002_1472837482,Not Socially Engaged,1472837482,3,2016-09-02 17:31:22,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Sunnyvale,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,San Francisco-Oakland-San Jose CA,(not set),not available in demo dataset,California,Northern America,,24,,21,546320000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
971,Referral,20160902,4755168908070236728,4755168908070236728_1472849608,Not Socially Engaged,1472849608,2,2016-09-02 20:53:28,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,not available in demo dataset,not available in demo dataset,New York,not available in demo dataset,Americas,United States,not available in demo dataset,not available in demo dataset,New York NY,(not set),not available in demo dataset,New York,Northern America,,27,,22,63840000,1,,,not available in demo dataset,,-1,,,(not set),1,,referral,/,mall.googleplex.com,unknown
